name	freq
ukraine	14
leaders	7
arm	6
article	6
full	6
minsk	6
talks	6
peace	5
promoscow	5
russia	5
deal	4
rebels	4
worldviews	4
adding	3
calls	3
capital	3
combats	3
convene	3
countrys	3
diplomats	3
east	3
efforts	3
european	3
gathered	3
governmentheld	3
growingbipartisan	3
hoped	3
impetus	3
insurgency	3
offensives	3
reasons	3
resilientrussianbacked	3
separatists	3
stepped	3
territory	3
washington	3
wednesdayread	3
agreed	2
battles	2
belarus	2
belorussian	2
ceasefire	2
conflict	2
days	2
discuss	2
discussions	2
eastern	2
escalating	2
forces	2
france	2
