name	freq
chile	8
tompkins	8
accident	7
wealthy	5
died	4
dies	4
douglas	4
called	3
chilean	3
cofounder	3
environmentalist	3
face	3
hypothermia	3
kayaking	3
north	3
radio	3
severe	3
activist	2
admits	2
americas	2
army	2
arrested	2
authorities	2
bought	2
businessman	2
caller	2
clothing	2
companies	2
dictatorships	2
dirty	2
environmental	2
esprit	2
exsoldier	2
former	2
held	2
keep	2
killings	2
land	2
large	2
leftists	2
part	2
patagonia	2
pristine	2
region	2
slayings	2
south	2
swaths	2
taking	2
veteran	2
war	2
