name	freq
china	18
womens	18
article	13
five	13
full	13
activists	10
beijing	10
international	10
rights	10
uproar	9
chinese	8
dalai	6
lama	6
march	6
rapprochement	6
authorities	5
caused	5
detained	5
detention	5
monday	5
surprise	5
three	5
whose	5
art	4
best	4
chinas	4
countries	4
day	4
demonstrations	4
distributing	4
early	4
economic	4
first	4
global	4
growth	4
harassment	4
highlight	4
island	4
janes	4
known	4
leaflets	4
mark	4
move	4
peaceful	4
performance	4
plans	4
public	4
released	4
releases	4
runway	4
