name	freq
article	24
full	24
nepal	24
india	20
earthquake	16
mount	16
everest	15
itanagar	15
magnitude	11
atop	10
devastating	10
quake	9
aftershocks	8
streets	8
avalanches	7
efforts	7
farmer	7
hours	7
new	7
rescue	7
temples	7
trying	7
workers	7
gold	6
saidread	6
saturday	6
areas	5
authorities	5
causing	5
chaos	5
complicated	5
country	5
damage	5
delhi	5
edgeread	5
family	5
fatalities	5
father	5
gajendra	5
himalayan	5
historic	5
hit	5
homes	5
kept	5
killed	5
killing	5
kills	5
nation	5
nearly	5
rajput	5
