name	freq
nuclear	71
iran	57
article	47
full	47
agreement	33
deal	33
lausanne	32
talks	30
switzerland	29
irans	26
deadline	24
program	24
diplomats	20
said	20
iranian	19
negotiators	19
powers	15
world	15
preliminary	14
thursday	14
tuesday	13
continue	12
day	11
framework	11
minister	11
sanctions	11
negotiations	10
past	10
read	10
saudi	10
state	10
wednesday	10
issues	8
midnight	8
night	8
officials	8
reach	8
curb	7
forces	7
future	7
make	7
research	7
states	7
tikrit	7
united	7
will	7
worldviews	7
announced	6
exchange	6
final	6
