name	freq
latest	76
violence	62
palestinians	60
israeli	54
jerusalem	52
palestinian	49
israel	46
israelis	46
bank	35
tensions	35
west	35
developments	34
local	34
ongoing	34
times	34
attacks	33
gaza	25
killed	25
following	24
days	23
site	18
stabbing	18
stabbed	15
holy	14
ministers	14
shot	14
netanyahu	13
police	13
amid	12
two	11
official	10
visiting	10
woman	10
border	9
spread	9
thursday	9
airstrike	8
cabinet	8
country	8
four	8
friday	8
lawmakers	8
minister	8
prime	8
said	8
sensitive	8
unrest	8
arabs	7
barred	7
bars	7
