name	freq
islamic	51
state	50
jordan	37
pilot	31
jordanian	27
article	26
full	26
video	24
burned	19
death	16
amman	14
released	14
show	14
militants	13
alive	12
captured	12
airstrikes	11
wednesday	10
purports	9
tuesday	9
burning	7
executed	7
jordans	7
syria	7
king	6
leaders	6
outrage	6
response	6
two	6
alkaseasbeh	5
cageread	5
convicts	5
extremist	5
iraqi	5
militantsread	5
muath	5
muslim	5
revenge	5
showing	5
swift	5
terror	5
authorities	4
bombing	4
countrys	4
crashed	4
dawn	4
denounce	4
fight	4
group	4
hours	4
