name	freq
tunisia	17
resort	14
article	13
friday	13
full	13
mosque	13
beirut	12
attacks	11
continents	11
deadly	11
fears	11
people	11
three	10
attack	9
kuwait	8
beheaded	7
bombed	7
global	7
gunned	7
killing	7
raising	7
strikes	7
surge	7
terror	7
victims	7
beach	6
believe	6
disparate	6
factory	6
france	6
imminent	6
islamic	6
militants	6
reason	6
shiite	6
state	6
gunmen	5
immediate	5
kuwaiti	5
packed	5
responsibility	5
aimed	4
amid	4
asserted	4
bombing	4
connectedread	4
escalating	4
foreigners	4
hit	4
hours	4
