name	freq
maldives	22
president	22
emergency	10
near	9
residence	9
official	8
state	8
kill	6
plotting	6
accused	5
citizens	5
days	5
declared	5
declares	5
found	5
rights	5
bomb	4
cache	4
device	4
discoveries	4
explosion	4
explosive	4
following	4
impeaches	4
key	4
parliament	4
presidents	4
speedboat	4
vice	4
weapons	4
wednesday	4
curtails	3
homemade	3
said	3
sharply	3
ahead	2
countrys	2
deactivated	2
ensure	2
ied	2
impeach	2
military	2
overwhelmingly	2
protest	2
safety	2
thursday	2
top	2
voted	2
will	2
