name	freq
helicopter	9
nicaragua	9
costa	8
cuban	8
migrants	8
crash	7
former	7
minister	7
dead	6
rica	6
authorities	5
two	5
bloc	4
central	4
corridor	4
humanitarian	4
missing	4
nicaraguan	4
regional	4
aboard	3
crashed	3
government	3
river	3
says	3
search	3
southern	3
states	3
united	3
america	2
american	2
americans	2
border	2
case	2
consider	2
continues	2
creation	2
denied	2
diplomatic	2
entry	2
found	2
including	2
issue	2
national	2
northern	2
numbers	2
official	2
people	2
police	2
proposed	2
proposes	2
