name	freq
base	23
attack	21
taliban	19
peshawar	13
air	12
militants	12
killed	11
mosque	11
pakistani	11
military	10
pakistan	10
people	9
force	8
inside	8
brazen	7
afghanistan	6
army	6
friday	6
militant	6
attackers	5
attacks	5
group	5
least	5
northwestern	5
outskirts	5
says	5
assault	4
city	4
claim	4
including	4
kill	4
pakistans	4
prayers	4
six	4
compound	3
deadliest	3
early	3
government	3
gunned	3
kills	3
launched	3
months	3
northwest	3
worshippers	3
behind	2
controlled	2
countrys	2
die	2
kabul	2
killing	2
