name	freq
russian	34
military	20
syria	18
putin	12
russia	12
president	11
talks	10
kerry	9
syrian	9
defense	8
officials	8
vladimir	8
american	7
moscows	7
russias	7
secretary	7
buildup	6
state	6
support	6
assad	5
base	5
jets	5
media	5
moscow	5
troops	5
assets	4
belarus	4
berlusconi	4
consider	4
crimea	4
establish	4
expanding	4
friday	4
government	4
group	4
journalist	4
kashin	4
oleg	4
opposition	4
protest	4
said	4
talk	4
year	4
aircraft	3
allied	3
concerned	3
conflict	3
direct	3
fighter	3
first	3
