name	freq
islamic	11
state	9
afghanistan	8
bombing	7
article	6
eastern	6
full	6
syria	6
killed	5
suicide	5
according	4
believed	4
claimed	4
dozens	4
gabriel	4
injured	4
iraqbased	4
kabul	4
least	4
movementread	4
people	4
responsibility	4
saturday	4
sent	4
statement	4
claims	3
kills	3
bed	2
behalf	2
beirut	2
branch	2
christians	2
darkness	2
daughter	2
firing	2
grenades	2
group	2
guns	2
jesus	2
language	2
later	2
linked	2
machine	2
militant	2
militants	2
motorcycle	2
onto	2
recalledread	2
regional	2
rocketpropelled	2
