name	freq
article	9
full	9
islamic	9
new	9
turkish	8
offensive	6
state	6
syria	6
turkey	6
vote	6
countrys	5
launched	5
aleppo	4
contested	4
election	4
elections	4
hotly	4
istanbul	4
parliamentary	4
polls	4
turkeys	4
across	3
appealed	3
assault	3
ballot	3
ballots	3
battlefield	3
capacity	3
casting	3
catch	3
citizens	3
counter	3
day	3
enemies	3
extremist	3
front	3
gaziantep	3
group	3
iraq	3
may	3
millions	3
multipronged	3
northern	3
one	3
opened	3
political	3
province	3
rebels	3
reshape	3
states	3
