name	freq
yemen	21
presidential	17
article	13
full	13
insurgents	12
sanaa	11
hadi	10
palace	10
yemens	10
ally	9
coup	9
escalating	9
abed	8
mansour	8
rabbo	8
rebels	8
shiite	8
tuesday	8
yemeni	8
attack	7
capital	7
compound	7
houthi	7
months	7
president	7
alqaedaread	6
fight	6
government	6
key	6
attacks	5
bid	5
rebel	5
residence	5
seen	5
stormed	5
westernallied	5
alqaedas	4
american	4
apparent	4
besets	4
branch	4
clashes	4
coupstyle	4
embattled	4
erupted	4
fiercest	4
fighting	4
heart	4
monday	4
offensive	4
