name	freq
johannesburg	7
people	7
zuma	7
south	6
called	5
marikana	5
president	5
african	4
jacob	4
khoi	4
motion	4
pistorius	4
said	4
yesterday	4
also	3
council	3
first	3
member	3
oscar	3
san	3
state	3
africa	2
alien	2
appeal	2
attack	2
burundi	2
certification	2
churches	2
commemorate	2
commission	2
committee	2
constitution	2
conviction	2
correctional	2
durban	2
filed	2
former	2
heretical	2
judge	2
leave	2
legal	2
mandarin	2
mfaku	2
months	2
morning	2
national	2
notice	2
ntulizuma	2
one	2
pastor	2
