name	freq
eeuu	16
cuba	14
obama	13
unidos	11
relaciones	10
washington	8
diplomáticas	7
embajadas	7
habana	7
blanca	6
casa	6
rousseff	6
acuerdo	5
julio	5
tras	5
ambos	4
castro	4
cubanos	4
dos	4
espera	4
hoy	4
ministro	4
países	4
primer	4
reapertura	4
viajará	4
abrir	3
anuncio	3
brasil	3
cubano	3
discurso	3
embajada	3
embargo	3
gobiernos	3
histórico	3
kerry	3
mayor	3
méxico	3
millones	3
nueva	3
partir	3
raúl	3
relación	3
restablecer	3
restablecimiento	3
trump	3
abrirán	2
ambicioso	2
anunciar	2
aseguró	2
