name	freq
venezuela	14
maduro	11
mud	7
oposición	6
parlamento	6
años	5
cambio	5
diálogo	5
mayoría	5
pide	5
ejecutivo	4
frente	4
opositora	4
políticos	4
presos	4
primera	4
venezolano	4
venezolanos	4
anunció	3
dijo	3
dos	3
gobierno	3
leopoldo	3
lópez	3
opositor	3
país	3
resultados	3
secretario	3
socialista	3
vez	3
abre	2
amnistía	2
apoyo	2
bancada	2
capriles	2
cárcel	2
castro	2
centroderecha	2
comienzo	2
condenado	2
control	2
crisis	2
derrota	2
dice	2
diplomacia	2
diputados	2
domingo	2
elecciones	2
gobernante	2
hacerle	2
