name	freq
nisman	24
argentina	15
argentino	12
fiscal	11
alberto	10
gobierno	9
juez	8
fernández	6
muerte	6
cristina	5
fallecido	5
presidenta	5
declarar	4
denuncia	4
días	4
dijo	4
documentos	4
evacuadas	4
fuentes	4
hoy	4
lluvias	4
personas	4
argentinas	3
caso	3
centro	3
cese	3
después	3
evacuados	3
fuerte	3
informaron	3
jueza	3
marco	3
medio	3
mordillo	3
oficiales	3
provincia	3
rafecas	3
sip	3
unas	3
aeropuerto	2
agropecuarias	2
aires	2
alerta	2
arroyo	2
asesinatos	2
ayer	2
boudou	2
buenos	2
caja	2
cámaras	2
