name	freq
parís	20
atentados	13
hoy	11
ayer	10
francia	10
refugiados	8
menos	6
terroristas	6
tras	6
eeuu	5
terrorista	5
islámico	4
país	4
sirios	4
unidos	4
yihadista	4
alerta	3
amenaza	3
ataques	3
atentado	3
bomba	3
denis	3
después	3
gran	3
grupo	3
potenciales	3
reforzar	3
saint	3
seguridad	3
semana	3
siria	3
víctimas	3
viernes	3
yihadistas	3
antiterrorista	2
atentar	2
bajo	2
belga	2
bruselas	2
búsqueda	2
campaña	2
casi	2
cerca	2
cierto	2
comando	2
cumbre	2
días	2
diplomática	2
dos	2
emergencia	2
