name	freq
venezuela	8
colombia	6
venezolano	6
cabello	5
diario	5
lópez	5
abc	4
chile	4
eeuu	4
español	4
expresidentes	4
maduro	4
presidente	4
venezolana	4
andrés	3
dijo	3
diosdado	3
leopoldo	3
militar	3
narcotráfico	3
país	3
pastrana	3
piñera	3
sebastián	3
visita	3
calderón	2
caracas	2
clase	2
demandará	2
descontento	2
felipe	2
general	2
información	2
internacionalu	2
investigado	2
lazos	2
liberación	2
méxico	2
nicolás	2
oposición	2
opositor	2
parlamento	2
penetración	2
preso	2
publicar	2
publicó	2
retirado	2
rivero	2
según	2
situación	2
