name	freq
nisman	15
fiscal	13
argentina	12
argentino	8
fernández	8
gobierno	8
marcha	8
muerte	8
persecutor	6
caso	5
judicial	5
manifestación	5
aires	4
amado	4
boudou	4
buenos	4
cristina	4
pide	4
secretario	4
seguridad	4
billetes	3
cohecho	3
criticó	3
eeuu	3
enfrenta	3
fallecido	3
incompatibles	3
negociaciones	3
país	3
presidenta	3
protección	3
veladamente	3
vicepresidente	3
acto	2
acusa	2
aparecer	2
asuntos	2
avigdor	2
cabeza	2
calles	2
canciller	2
cartas	2
chile	2
cierre	2
convocaron	2
debido	2
denuncia	2
destitución	2
días	2
dijo	2
