name	freq
venezuela	27
maduro	20
eeuu	18
gobierno	15
amenaza	10
presidente	10
obama	8
país	8
sanciones	8
venezolano	6
caracas	5
luego	5
seguridad	5
asegura	4
asuntos	4
blanca	4
capriles	4
casa	4
especiales	4
indicó	4
pide	4
poderes	4
bolivia	3
califica	3
calificara	3
caso	3
decisión	3
derechos	3
esposa	3
funcionarios	3
humanos	3
latinoamérica	3
medidas	3
mitzy	3
nacional	3
nuevas	3
opositores	3
poder	3
venezolanos	3
acuerdo	2
acusó	2
agresivo	2
alcalde	2
américa	2
año	2
antonio	2
apoyo	2
aprueba	2
asamblea	2
asiático	2
