name	freq
minsk	26
ucrania	17
cumbre	14
acuerdo	10
presidente	9
fuego	8
putin	8
paz	7
alto	6
merkel	6
poroshenko	6
rusia	6
acuerdos	5
hollande	5
puntos	5
armamento	4
pesado	4
septiembre	4
alemana	3
base	3
canciller	3
presión	3
rebeldes	3
retirada	3
ruso	3
separatistas	3
ucraniano	3
además	2
alcanzado	2
bostezos	2
capital	2
cenar	2
cese	2
comienza	2
conflicto	2
continuar	2
cumplimiento	2
dar	2
dijo	2
doce	2
documento	2
domingo	2
donetsk	2
estatus	2
firmaron	2
forma	2
francés	2
francia	2
futuro	2
hoy	2
