name	freq
rousseff	10
brasil	6
corrupción	5
dilma	4
ajuste	3
crisis	3
datafolha	3
director	3
gobierno	3
mandataria	3
popularidad	3
turistas	3
agua	2
ahora	2
apoyo	2
armas	2
atacaron	2
brasileño	2
caída	2
campañas	2
combate	2
congreso	2
derrumba	2
diputados	2
electoral	2
empresas	2
escándalo	2
fiscal	2
frenar	2
hídrica	2
lanza	2
manifestación	2
medidas	2
mientras	2
ministro	2
país	2
parlamento	2
peor	2
petrobras	2
políticos	2
presidenta	2
protesta	2
protestas	2
renuncia	2
sociales	2
sólo	2
techo	2
trabajadores	2
tras	2
vive	2
