name	freq
egipto	17
avión	15
ruso	8
dijo	7
atentado	6
presidente	6
bomba	5
cayó	5
tragedia	5
bordo	4
dice	4
eeuu	4
hoy	4
posibilidad	4
vuelos	4
caída	3
cajas	3
comunidad	3
definitivo	3
estrelló	3
inteligencia	3
invertir	3
investigadores	3
mil	3
negras	3
obama	3
pasando	3
pronunciamiento	3
puede	3
rusa	3
rusia	3
sábado	3
sinaí	3
tesis	3
tiempo	3
tratando	3
turistas	3
vamos	3
vea	3
aérea	2
autoridades	2
aviación	2
británicos	2
causa	2
comité	2
decidió	2
egipcio	2
estadounidense	2
evacuar	2
fuente	2
