name	freq
grecia	15
acuerdo	12
acreedores	8
país	7
atenas	5
griego	5
rescate	5
bancos	4
bruselas	4
eurozona	4
lunes	4
medidas	4
ministros	4
programa	4
propuestas	4
tsipras	4
anunció	3
créditos	3
cumbre	3
domingo	3
emergencia	3
euro	3
europeo	3
finanzas	3
griega	3
llegar	3
ministro	3
negociaciones	3
organismo	3
primer	3
propuesta	3
reunión	3
zona	3
abrirán	2
banco	2
búsqueda	2
cajeros	2
clave	2
consulta	2
debe	2
depósitos	2
día	2
economía	2
enfrenta	2
eurogrupo	2
euros	2
evitar	2
extender	2
fmi	2
gobierno	2
