name	freq
islámico	11
japonés	9
goto	8
grupo	8
rehenes	8
kenji	7
periodista	7
jordania	6
piloto	6
gobierno	5
jordano	5
yihadista	5
japón	4
nipón	4
nuevo	4
video	4
capturados	3
dado	3
decapitación	3
gabinete	3
países	3
plazo	3
rehén	3
tokio	3
ultimátum	3
ambos	2
asegura	2
asesinato	2
autoridades	2
ayer	2
credibilidad	2
difundió	2
espera	2
estudian	2
evitar	2
horas	2
hoy	2
intercambio	2
ministro	2
muestra	2
noticias	2
primer	2
puesta	2
sábado	2
salvar	2
secretario	2
sol	2
supuestamente	2
twitter	2
vida	2
