name	freq
ucrania	41
minsk	20
acuerdo	13
cumbre	12
fuego	12
putin	11
rusia	11
alto	10
presidente	10
conflicto	8
crisis	8
paz	7
poroshenko	7
kiev	6
merkel	6
país	6
prorrusos	5
separatistas	5
ucraniano	5
acuerdos	4
alemana	4
aseguró	4
canciller	4
europeos	4
fin	4
líderes	4
puntos	4
rebeldes	4
reunión	4
ruso	4
septiembre	4
tras	4
armamento	3
base	3
cese	3
dijo	3
donetsk	3
eeuu	3
hollande	3
maratónica	3
menos	3
negociación	3
obama	3
pasado	3
pesado	3
solución	3
todas	3
tregua	3
acordada	2
acuerdan	2
