name	freq
refugiados	19
hungría	14
alemania	9
budapest	9
policía	9
trenes	9
austria	8
inmigrantes	8
estación	7
miles	7
tren	6
europa	5
entrada	4
húngaro	4
personas	4
bloqueados	3
dirección	3
impide	3
ministro	3
orbán	3
país	3
primer	3
tras	3
afganos	2
afluencia	2
ayer	2
bicske	2
bordo	2
cerrada	2
cientos	2
cierra	2
dice	2
dirigían	2
entran	2
europeos	2
ferris	2
grecia	2
griegos	2
hacia	2
húngara	2
húngaros	2
impedirlo	2
inician	2
intenta	2
intentos	2
llegar	2
lograron	2
marcha	2
marcharse	2
noche	2
