name	freq
scioli	20
argentina	15
macri	11
vuelta	10
aires	7
buenos	7
candidato	7
segunda	6
favorito	5
kirchner	5
massa	5
peronismo	5
primera	5
provincia	5
elecciones	4
voto	4
argentinas	3
argentino	3
busca	3
definirse	3
estrepitosa	3
evita	3
forma	3
fracasa	3
gana	3
ganar	3
gane	3
gobierno	3
intento	3
liderar	3
oficial	3
oficialista	3
oposición	3
peronista	3
pierde	3
quiero	3
abre	2
aleja	2
cambiemos	2
clase	2
daniel	2
decide	2
derecha	2
directo	2
electoral	2
evitar	2
frente	2
golpe	2
hoy	2
kirchnerismo	2
