name	freq
china	19
pekín	8
contaminación	7
alerta	6
parís	6
grupo	5
roja	5
capital	4
vez	4
asume	3
chino	3
compromisos	3
contaminante	3
conversaciones	3
fosun	3
grandes	3
india	3
líneas	3
magnate	3
mascarillas	3
mundo	3
negociaciones	3
osborne	3
pacto	3
país	3
países	3
posee	3
presidente	3
primera	3
principal	3
protagonistas	3
rojas	3
vive	3
afirma	2
aire	2
anticorrupción	2
apoyo	2
argentina	2
asumir	2
ayudando	2
brasil	2
cada	2
caída	2
calentamiento	2
cambio	2
campaña	2
carga	2
ciertas	2
clima	2
climático	2
