name	freq
refugiados	24
alemania	19
merkel	7
asilados	6
baviera	5
berlín	5
gobierno	5
integración	5
migrantes	5
múnich	5
acoger	4
dinamarca	4
esperan	4
jefe	4
llegada	4
masiva	4
acogida	3
aliados	3
años	3
bávaro	3
camino	3
canciller	3
considera	3
críticas	3
csu	3
desbordada	3
error	3
francia	3
frontera	3
grave	3
guerra	3
hace	3
líder	3
mayor	3
personas	3
principales	3
recibe	3
sirios	3
solidaridad	3
acaban	2
acoge	2
adjudica	2
afganos	2
albania	2
alemana	2
allá	2
aquí	2
asilo	2
campaña	2
capital	2
