name	freq
parís	30
acuerdo	21
cumbre	18
pacto	16
climático	15
cambio	14
francia	13
países	9
primer	9
francés	8
pen	8
clima	7
frente	7
nacional	7
primera	7
china	6
global	6
hollande	6
regionales	6
atentados	5
emisiones	5
final	5
franceses	5
negociaciones	5
país	5
presidente	5
texto	5
calentamiento	4
deben	4
françois	4
histórico	4
lanza	4
mundo	4
partido	4
suprime	4
universal	4
ahora	3
años	3
aprobar	3
asume	3
aumento	3
bataclan	3
borrador	3
ciudad	3
compromisos	3
conferencia	3
contaminante	3
conversaciones	3
diciembre	3
dos	3
