name	freq
gobierno	11
grecia	10
tsipras	9
según	8
atenas	6
democracia	6
directo	6
elecciones	6
elegir	6
hora	6
nueva	6
partido	6
syriza	6
última	6
votación	6
izquierdista	5
obtendría	5
rescate	5
tercer	5
dan	4
encuestas	4
meimarakis	4
quedaría	4
recuento	4
urnas	4
ventaja	4
votos	4
alexis	3
campaña	3
cita	3
conservador	3
electoral	3
griega	3
griegas	3
mañana	3
refugiados	3
tercera	3
abierto	2
amplia	2
bandera	2
coalición	2
colegios	2
conservadores	2
ejecutar	2
elige	2
encargado	2
europa	2
gana	2
ganar	2
griegos	2
