name	freq
croacia	21
refugiados	13
migrantes	12
frontera	9
entrado	7
país	7
alemania	6
policía	6
asegura	5
húngaras	5
autoridades	4
croata	4
cruzar	4
hacia	4
mientras	4
serbia	4
valla	4
alambrada	3
anterior	3
bloqueo	3
cierra	3
construcción	3
cordón	3
día	3
doble	3
entrar	3
horas	3
hungría	3
ilegalmente	3
interceptado	3
kilómetros	3
largo	3
policial	3
recibe	3
rompen	3
últimas	3
vira	3
afrontan	2
autobuses	2
camino	2
crecientes	2
ejército	2
entran	2
europeo	2
flujo	2
fronterizos	2
húngara	2
húngaro	2
inician	2
inmigrantes	2
