name	freq
frontera	18
hungría	16
refugiados	16
croacia	13
migrantes	12
policía	8
húngara	7
ilegalmente	7
valla	7
cárcel	6
húngaras	6
nueva	6
penas	6
autoridades	5
cruzar	5
ilegal	5
país	5
alemania	4
día	4
entrar	4
hacia	4
inmigración	4
interceptado	4
martes	4
serbia	4
alambrada	3
años	3
aplica	3
bloqueo	3
construcción	3
criminaliza	3
croata	3
crucen	3
directo	3
entrado	3
establece	3
forma	3
gases	3
impone	3
inmigrantes	3
kilómetros	3
lacrimógenos	3
largo	3
legislación	3
ley	3
llegan	3
primeros	3
sella	3
tres	3
vira	3
