name	freq
avión	14
indonesia	12
búsqueda	10
aparato	9
desaparecido	7
mar	7
airasia	6
contacto	6
perdió	6
recuperados	6
restos	6
cadáveres	5
días	5
domingo	5
indonesias	5
personas	5
tras	5
tres	5
cuerpos	4
hallazgo	4
perdido	4
aguas	3
alta	3
ayudar	3
cajas	3
cerca	3
confirma	3
diez	3
estrelló	3
expertos	3
fondo	3
franceses	3
fuselaje	3
grupo	3
kilómetros	3
llegan	3
localizados	3
localizar	3
mal	3
negras	3
objetos	3
país	3
podría	3
siniestrado	3
tiempo	3
vuelo	3
accidente	2
apunta	2
autoridades	2
cinco	2
