name	freq
irán	40
acuerdo	30
nuclear	25
teherán	16
pacto	14
negociaciones	11
potencias	11
programa	11
iraní	10
negociación	10
plazo	10
sanciones	9
grandes	8
deben	6
dice	6
llegar	6
martes	6
presidente	6
reservas	6
concluir	5
hoy	5
israel	5
lausana	5
mundo	5
netanyahu	5
parte	5
preliminar	5
primer	5
alternativas	4
apuran	4
buena	4
congreso	4
diálogo	4
extranjero	4
final	4
francia	4
mandar	4
ministro	4
negociadores	4
obama	4
soluciones	4
tras	4
uranio	4
ven	4
alcance	3
alemania	3
amenaza	3
anunciado	3
atómica	3
avances	3
