name	freq
costa	11
presidente	9
cavaco	7
socialistas	7
acuerdo	6
gobierno	6
izquierda	6
portugués	6
portugal	5
críticas	4
gobernar	4
partido	4
portugueses	4
alud	3
anuncian	3
coelho	3
condiciones	3
discurso	3
euros	3
mínimo	3
pacto	3
passos	3
provoca	3
salario	3
silva	3
subir	3
torno	3
unen	3
abre	2
acusa	2
ambición	2
antónio	2
apoyo	2
asegura	2
assis	2
austeridad	2
clase	2
confirma	2
contempla	2
creadas	2
crítica	2
desmedida	2
eliminar	2
erige	2
eurodiputado	2
fisuras	2
formar	2
francisco	2
funcionarios	2
ganador	2
