name	freq
unidos	13
cuba	6
washington	6
cuarta	5
narcotráfico	5
presidente	5
california	4
cambios	4
casa	4
clinton	4
conversaciones	4
fuerzas	4
gobernador	4
investigación	4
iraquíes	4
nueva	4
petróleo	4
política	4
ronda	4
acelerar	3
aragua	3
avances	3
blanca	3
candidata	3
cargos	3
celebra	3
crudo	3
entrega	3
estrategia	3
gobierno	3
guerra	3
hace	3
hillary	3
litros	3
oleoducto	3
policía	3
ramadi	3
relaciones	3
restablecer	3
rotura	3
senado	3
venezuela	3
yihadista	3
acaba	2
acto	2
allana	2
allanado	2
altos	2
antiguo	2
anuncios	2
