name	freq
ucrania	19
alemania	12
merkel	10
francia	9
putin	9
rusia	9
minsk	8
obama	7
acuerdo	6
angela	6
canciller	6
cumbre	6
fuego	5
líderes	5
alemana	4
conversaciones	4
gobierno	4
paz	4
presidente	4
barack	3
cese	3
crisis	3
francois	3
hollande	3
negociaciones	3
agenda	2
alto	2
anuncia	2
asilo	2
atentado	2
berlín	2
buscarán	2
caricatura	2
compareció	2
danés	2
dijo	2
documento	2
domingo	2
espionaje	2
francés	2
grecia	2
guerra	2
hoy	2
importante	2
llegado	2
mandatarios	2
papa	2
participaron	2
periodistas	2
pidió	2
