name	freq
parís	47
francia	42
francés	25
charlie	24
hebdo	20
atentados	18
ataques	13
hollande	13
atentado	11
marcha	11
víctimas	11
cuatro	10
personas	10
presidente	10
tras	10
ataque	9
mahoma	8
policía	8
terroristas	8
franceses	7
hoy	7
obama	7
video	7
aseguró	6
dijo	6
líderes	6
luego	6
ministro	6
rehenes	6
antiterrorista	5
asesinados	5
autoridades	5
diario	5
dos	5
judíos	5
mil	5
millones	5
musulmanes	5
pasado	5
primer	5
revista	5
según	5
seguridad	5
semana	5
semanario	5
terrorismo	5
abrazo	4
críticas	4
detienen	4
días	4
