name	freq
personas	12
ferry	11
italiano	11
italia	7
atlantic	6
italiana	6
muertos	5
norman	5
cifra	4
inmigrantes	4
rescate	4
transbordador	4
barco	3
cadáveres	3
carguero	3
incendio	3
informó	3
labores	3
pasajeros	3
rescatan	3
suman	3
abandonado	2
abandonados	2
agca	2
ali	2
aún	2
ayuda	2
bordo	2
desaparecidas	2
desaparecidos	2
dos	2
gobernador	2
griega	2
griegos	2
hijo	2
incendiado	2
interior	2
italianos	2
marina	2
mehmet	2
migrantes	2
nave	2
podría	2
rescatados	2
salvadas	2
ser	2
siguen	2
tras	2
viajaban	2
víctimas	2
