name	freq
obama	23
texas	12
unidos	12
presidente	10
blanca	9
charleston	9
bush	8
barack	7
bill	7
casa	7
estadounidense	6
gobierno	6
iglesia	6
méxico	6
clinton	5
gobernador	5
jeb	5
mandatario	5
presidencia	5
presidencial	5
tormenta	5
trump	5
acuerdo	4
afroamericana	4
asegura	4
centro	4
comercial	4
comunidad	4
cuba	4
florida	4
hillary	4
hoy	4
lynch	4
país	4
personas	4
señaló	4
tras	4
años	3
anuncio	3
armas	3
candidatura	3
carrera	3
departamento	3
dice	3
dylann	3
estudiantes	3
general	3
gran	3
houston	3
inundaciones	3
