name	freq
chile	13
chileno	9
bolivia	8
volcán	6
bachelet	5
calbuco	5
canciller	5
gabinete	5
mar	5
boliviano	4
cenizas	4
morales	4
país	4
presidenta	4
alerta	3
chilena	3
demanda	3
dijo	3
hijo	3
ministro	3
políticos	3
presidente	3
soquimich	3
acceder	2
acceso	2
aledaños	2
asunto	2
cambio	2
cinco	2
competencia	2
corrupción	2
corte	2
crisis	2
critica	2
decisión	2
dentro	2
diputado	2
erupción	2
escándalo	2
evo	2
fiscalía	2
fraude	2
gran	2
hoy	2
limpieza	2
mantienen	2
michelle	2
nuera	2
pacífico	2
paz	2
