name	freq
farc	21
colombia	17
acuerdo	10
paz	9
santos	8
gobierno	7
colombiano	6
justicia	6
año	5
armadas	5
fuerzas	5
revolucionarias	5
eln	4
guerrilla	4
guerrilleros	4
país	4
presidente	4
años	3
denuncia	3
dijo	3
especial	3
fin	3
guerra	3
hace	3
humanidad	3
incendios	3
indultos	3
juan	3
lesa	3
libertad	3
manuel	3
navidad	3
ocho	3
trabas	3
acciones	2
aérea	2
afirma	2
alto	2
armado	2
asegura	2
bogotá	2
burócratas	2
cargos	2
colombiana	2
colombianos	2
conflicto	2
creación	2
crímenes	2
cuales	2
dejar	2
