name	freq
cuba	52
papa	45
francisco	32
eeuu	20
cubanos	17
pontífice	17
visita	17
castro	15
habana	14
cubano	13
isla	12
misa	11
iglesia	10
fidel	9
encuentro	8
gobierno	8
relaciones	8
revolución	8
vaticano	8
obama	7
plaza	7
unidos	7
católica	6
espera	6
medio	6
reconciliación	6
argentina	5
cardenal	5
julio	5
líder	5
nueva	5
ortega	5
presidente	5
presos	5
acercamiento	4
años	4
argentino	4
asistirá	4
camino	4
disidentes	4
embargo	4
personas	4
primer	4
pueblo	4
raúl	4
reunión	4
según	4
servicio	4
tras	4
viaja	4
