name	freq
refugiados	24
alemania	15
austria	10
merkel	6
frontera	5
múnich	5
país	5
países	5
alemán	4
cerca	4
control	4
gobierno	4
hoy	4
inmigrantes	4
miles	4
alemanes	3
ayuda	3
baviera	3
controles	3
día	3
días	3
europea	3
fronterizos	3
hollande	3
hungría	3
llegaron	3
mayoría	3
ministro	3
personas	3
portavoz	3
principal	3
semana	3
acogida	2
alemana	2
arzobispado	2
asilo	2
aumento	2
berlín	2
cabo	2
cada	2
circulación	2
conflicto	2
crisis	2
debido	2
dejaran	2
diarios	2
dos	2
esfuerzo	2
espera	2
establecer	2
