name	freq
papa	21
ecuador	16
francisco	15
paraguay	13
bolivia	11
correa	10
quito	8
gira	6
ecuatorianos	5
presidente	5
días	4
domingo	4
guayaquil	4
indígenas	4
llegada	4
manifestaciones	4
rafael	4
viaje	4
visita	4
argentino	3
dos	3
gobierno	3
grupos	3
iglesia	3
inicia	3
misa	3
ocho	3
país	3
países	3
suramérica	3
académicos	2
años	2
argentina	2
asesinato	2
asistirá	2
católica	2
celebre	2
celibato	2
debería	2
diálogo	2
egipto	2
espera	2
esperan	2
etapa	2
exclusiones	2
fiscal	2
general	2
hacia	2
junio	2
latinoamérica	2
