name	freq
libia	12
egipto	10
egipcios	5
internacional	5
islámico	5
onu	5
bombardeos	4
comunidad	4
grupo	4
libio	4
qatar	4
tensiones	4
armas	3
cairo	3
consejo	3
egipcio	3
embargo	3
gobierno	3
países	3
seguridad	3
yihadistas	3
árabes	2
ascenso	2
catar	2
coptos	2
crisis	2
duras	2
embajador	2
intentaba	2
intervención	2
levantar	2
luchar	2
mientras	2
miércoles	2
militar	2
movilizar	2
naciones	2
penas	2
política	2
reavivan	2
reavivaron	2
reconocido	2
reunión	2
solución	2
territorio	2
unidas	2
yihadista	2
