name	freq
parís	97
francia	61
atentados	46
terroristas	29
ataques	28
francés	18
víctimas	17
presidente	16
muertos	15
dos	14
personas	13
menos	12
solidaridad	12
terrorista	12
explosiones	11
hollande	11
viernes	11
centro	10
estadio	9
francesa	9
islámico	9
país	9
países	9
policía	9
pueblo	9
sala	9
seguridad	9
alemania	8
bataclan	8
capital	8
cerca	8
conciertos	8
franceses	8
ministro	8
noche	8
según	8
terrorismo	8
tras	8
tres	8
unidos	8
yihadistas	8
europea	7
guerra	7
dijo	6
familiares	6
gobierno	6
hoy	6
tiroteos	6
aunque	5
condolencias	5
