name	freq
grecia	85
acuerdo	33
griego	27
acreedores	25
atenas	22
ministro	20
gobierno	19
tsipras	18
propuestas	16
eurozona	15
reformas	15
euro	14
europea	14
rescate	13
cumbre	12
fmi	12
griegos	12
programa	12
primer	11
unión	11
euros	10
país	10
evitar	9
finanzas	9
griega	9
millones	9
negociaciones	9
debe	8
eurogrupo	8
merkel	8
ministros	8
tras	8
asegura	7
crisis	7
dinero	7
instituciones	7
lograr	7
lunes	7
medidas	7
referéndum	7
reunión	7
socios	7
zona	7
alexis	6
aseguró	6
bancos	6
bruselas	6
fondo	6
hoy	6
jueves	6
