name	freq
avión	26
indonesia	19
airasia	14
isla	7
java	7
fuselaje	6
singapur	6
surabaya	6
dos	5
mar	5
airbus	4
barcos	4
búsqueda	4
cuerpos	4
desaparecido	4
después	4
expertos	4
investigación	4
kilómetros	4
partes	4
sábado	4
según	4
borneo	3
buzos	3
cadáveres	3
cuatro	3
domingo	3
equipos	3
grandes	3
indonesios	3
objetos	3
radares	3
rescate	3
restos	3
vuelo	3
zona	3
accidentado	2
aéreas	2
aéreo	2
agencia	2
alas	2
aparato	2
autorización	2
aviones	2
ayuda	2
bun	2
ciudad	2
comandante	2
compañía	2
corredor	2
