name	freq
irán	31
nuclear	14
acuerdo	11
eeuu	10
republicanos	9
carta	7
negociaciones	7
unidos	7
programa	6
senadores	5
alemania	4
argentina	4
china	4
conversaciones	4
francia	4
iraní	4
naciones	4
paralelas	4
reino	4
rusia	4
según	4
teherán	4
unido	4
enviada	3
gobierno	3
grupo	3
intercedió	3
israel	3
legisladores	3
obama	3
potencias	3
puede	3
revista	3
tras	3
venezuela	3
washington	3
advierten	2
advirtió	2
afirmó	2
agencia	2
aumentan	2
avances	2
ayatolá	2
barack	2
cargo	2
caso	2
cautela	2
cinco	2
comunidad	2
confianza	2
