name	freq
netanyahu	26
israel	19
israelí	14
dos	11
gobierno	10
ministro	9
primer	9
años	8
israelíes	7
país	7
benjamin	6
comicios	6
likud	6
palestinos	6
árabe	5
campaña	5
coalición	5
palestino	5
unidos	5
derecha	4
diálogo	4
escaños	4
jerusalén	4
nuevo	4
participación	4
sionista	4
tras	4
aunque	3
campo	3
elecciones	3
electoral	3
embajada	3
encuestas	3
formar	3
insta	3
jueves	3
líder	3
partido	3
poder	3
presidente	3
próximo	3
relaciones	3
rivlin	3
ultraortodoxos	3
acuerdo	2
aires	2
alcanzar	2
aliado	2
alto	2
amia	2
