name	freq
italia	10
inmigrantes	5
italiano	5
roma	4
años	3
domingo	3
embarcación	3
francés	3
frío	3
libia	3
mediterráneo	3
papa	3
personas	3
actos	2
alemana	2
arzobispo	2
audiencia	2
banco	2
bonos	2
bordo	2
cardenales	2
ciudades	2
cóndor	2
cuba	2
día	2
francia	2
gobierno	2
griegos	2
guardacostas	2
habana	2
holocausto	2
internacional	2
italianos	2
manifestaciones	2
merkel	2
migrantes	2
mueren	2
norma	2
operación	2
países	2
penas	2
previsto	2
proceso	2
próximo	2
reino	2
situación	2
sólo	2
tras	2
unido	2
unidos	2
