name	freq
siria	43
isis	19
ruso	18
rusia	15
avión	14
sirio	10
turquía	10
ataques	9
grupo	9
país	8
aéreo	7
irak	7
militar	7
presidente	7
apoyo	6
coalición	6
derribado	6
espacio	6
frontera	6
gobierno	6
hollande	6
sirios	6
aviones	5
combate	5
derribo	5
después	5
lucha	5
moscú	5
refugiados	5
turco	5
yihadista	5
afirma	4
ankara	4
asad	4
assad	4
atentados	4
dos	4
ejército	4
francés	4
franceses	4
guerra	4
internacional	4
islámico	4
mantener	4
martes	4
millones	4
ministro	4
pilotos	4
putin	4
territorio	4
