name	freq
papa	36
francisco	20
bolivia	12
paraguay	11
ecuador	10
visita	8
gira	6
correa	5
viaje	5
días	4
domingo	4
indígenas	4
misa	4
misas	4
presidente	4
quito	4
centro	3
coca	3
dos	3
ecuatorianos	3
gobierno	3
guayaquil	3
hojas	3
inicia	3
latinoamérica	3
líderes	3
llegada	3
ocho	3
país	3
países	3
protestas	3
rafael	3
reunirá	3
sociales	3
suramérica	3
académicos	2
altura	2
amenazas	2
américa	2
años	2
argentina	2
argentino	2
asistirá	2
aunque	2
autoridades	2
campales	2
campesinos	2
celebre	2
crisis	2
cuba	2
