id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52	week53
AFG	6	2	3	0	1	1	1	2	3	4	5	1	5	2	5	4	1	2	1	4	2	1	1	0	1	4	2	2	4	6	7	4	4	5	6	3	2	3	2	8	12	7	4	16	2	4	5	2	7	13	4	11	1
AGO	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0
AND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARE	0	0	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1	1	0	0	2	0	0	0	2	0	0	2	0	0
ARG	10	6	10	21	24	24	19	23	18	15	23	22	17	30	19	18	24	12	8	14	9	8	11	17	16	11	14	15	13	18	7	24	16	5	8	8	6	14	18	12	7	10	49	31	15	17	37	26	14	25	18	17	13
ARM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATG	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0
AUS	5	6	0	0	0	3	4	3	0	1	3	1	0	0	0	3	1	3	0	0	0	0	0	0	0	1	2	0	0	2	2	0	1	0	1	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	1	3	2
AUT	0	0	0	0	2	0	0	1	4	1	1	0	1	1	0	1	2	0	1	2	1	3	0	3	5	2	4	3	5	1	0	0	0	2	12	19	11	9	3	0	1	4	5	19	1	4	3	1	2	1	3	2	1
AZE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	2	4	0	1	0	5	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
BEL	0	6	13	1	1	4	3	3	1	3	7	3	4	0	0	2	3	3	5	3	4	3	11	19	9	11	1	10	6	1	7	5	2	2	0	3	2	2	7	1	1	5	0	4	1	8	28	13	9	3	5	5	9
BEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
BGD	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	2	0	1	1	5	3	2	0	0	2	2	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
