name	freq
français	10
charlie	8
france	7
après	6
hebdo	6
kouachi	5
paris	5
attentat	4
gaza	4
drapeau	3
françois	3
hollande	3
mahomet	3
préparer	3
prophète	3
soupçonnés	3
tchétchènes	3
actes	2
anti	2
attentats	2
béziers	2
brûlant	2
calvet	2
caricature	2
contre	2
défilé	2
depuis	2
environ	2
expliqué	2
fox	2
frères	2
intérieur	2
interpellés	2
islam	2
islamistes	2
janvier	2
lors	2
lundi	2
manifestation	2
mélenchon	2
menaçant	2
menacés	2
ministère	2
monde	2
naturalisé	2
news	2
nouvelle	2
perquisitions	2
personnes	2
poursuivent	2
