name	freq
séisme	19
népal	18
morts	11
selon	7
fait	6
moins	6
personnes	6
bilan	5
katmandou	5
magnitude	5
sous	5
affaires	4
bfast	4
étrangères	4
historique	4
ministère	4
photos	4
puissant	4
tour	4
belgique	3
décombres	3
everest	3
exprimé	3
pays	3
piégées	3
plus	3
répliques	3
responsables	3
videos	3
violentes	3
alourdir	2
armée	2
belges	2
capitale	2
civile	2
composée	2
dépasse	2
dévastateur	2
dimanche	2
durement	2
envolé	2
équipe	2
nouvelles	2
pompiers	2
protection	2
publique	2
reuters	2
santé	2
très	2
vers	2
