name	freq
grèce	9
sortie	5
deuxième	4
générale	4
grec	4
grève	4
ministre	4
mois	4
premier	4
schengen	4
turc	4
gestion	3
migrants	3
adressé	2
adressés	2
affrontait	2
agressif	2
aimerait	2
auprès	2
autorités	2
autre	2
centres	2
conseil	2
contre	2
créanciers	2
crise	2
critiquée	2
définitive	2
engagé	2
espace	2
estime	2
européen	2
fmi	2
francken	2
gauche	2
gouvernement	2
grands	2
homologue	2
hors	2
jeudi	2
manifestations	2
mener	2
messages	2
mystérieux	2
part	2
pays	2
perturbés	2
publics	2
question	2
ralenti	2
