name	freq
pilote	16
jordanie	14
etat	13
islamique	13
jordanien	9
djihadiste	8
djihadistes	8
brûlé	7
daesh	7
vif	7
après	6
mort	6
arabes	5
contre	5
groupe	5
monde	4
pays	4
plus	4
réponse	4
arabe	3
condamnée	3
deux	3
échange	3
entier	3
exécutera	3
exécution	3
fois	3
franchi	3
horrible	3
infligé	3
libération	3
loin	3
monstre	3
pourraient	3
promet	3
réclamait	3
regretter	3
révulsé	3
supplice	3
syrie	3
vidéo	3
annonce	2
arabie	2
capturé	2
comme	2
condamnations	2
décembre	2
déjà	2
depuis	2
également	2
